NIN-00661162,Abass.NIN00661162@gmail.com,NGX
NIN-00531162,Abayomi.NIN00531162@gmail.com,NGX,AFEX
NIN-00038162,Abba.NIN00038162@gmail.com,NGX
NIN-00849272,Abbakar.NIN00849272@gmail.com,NGX
NIN-00485084,Abbas.NIN00485084@gmail.com,NGX
NIN-00056176,Abdu.NIN00056176@gmail.com,NGX
NIN-00168535,Abdulahi.NIN00168535@gmail.com,NGX
NIN-00597104,Abdulazeez.NIN00597104@gmail.com,NGX
NIN-00621104,Abdulaziz.NIN00621104@gmail.com,NGX
NIN-00110982,Abdulhamid.NIN00110982@gmail.com,NGX
NIN-00226173,Abdul.NIN00226173@gmail.com,NGX
NIN-00748788,Abdulkadir.NIN00748788@gmail.com,NGX,LCFE
NIN-00883462,Abdulkareem.NIN00883462@gmail.com,NGX
NIN-00273462,Abdulkarim.NIN00273462@gmail.com,NGX
NIN-00884279,Abdullahi.NIN00884279@gmail.com,NGX
NIN-00349572,Abdulmalik.NIN00349572@gmail.com,NGX
NIN-00492310,Abdulmumini.NIN00492310@gmail.com,NGX
NIN-00620106,Abdulrahaman.NIN00620106@gmail.com,NGX
NIN-00151082,Abdulrahman.NIN00151082@gmail.com,NGX
NIN-00004658,Abdulrasheed.NIN00004658@gmail.com,NGX
NIN-00430658,Abdulrazak.NIN00430658@gmail.com,NGX
NIN-00794856,Abdulsalam.NIN00794856@gmail.com,NGX
NIN-00580860,Abdulwahab.NIN00580860@gmail.com,NGX
NIN-00080986,Abel.NIN00080986@gmail.com,NGX
NIN-00277986,Abibat.NIN00277986@gmail.com,NGX
NIN-00194986,Abidemi.NIN00194986@gmail.com,NGX
NIN-00546986,Abigail.NIN00546986@gmail.com,NGX
NIN-00057986,Abimbola.NIN00057986@gmail.com,NGX
NIN-00605986,Abiodun.NIN00605986@gmail.com,NGX,NCX
NIN-00543986,Abiola.NIN00543986@gmail.com,NGX
NIN-00445986,Abosede.NIN00445986@gmail.com,NGX
NIN-00775986,Abraham.NIN00775986@gmail.com,NGX
NIN-00036986,Abu.NIN00036986@gmail.com,NGX
NIN-00610057,Abubakar.NIN00610057@gmail.com,NGX
NIN-00050986,Ada.NIN00050986@gmail.com,NGX
NIN-00683836,Adaeze.NIN00683836@gmail.com,NGX
NIN-00652409,Adama.NIN00652409@gmail.com,NGX
NIN-00959948,Adam.NIN00959948@gmail.com,NGX
NIN-00665309,Adams.NIN00665309@gmail.com,NGX
NIN-00663752,Adamu.NIN00663752@gmail.com,NGX,AFEX
NIN-00052561,Ade.NIN00052561@gmail.com,NGX
NIN-00215428,Adebayo.NIN00215428@gmail.com,NGX
NIN-00305650,Adebisi.NIN00305650@gmail.com,NGX
NIN-00603598,Adebola.NIN00603598@gmail.com,NGX,LCFE
NIN-00121246,Adedayo.NIN00121246@gmail.com,NGX
NIN-00265405,Adejoke.NIN00265405@gmail.com,NGX
NIN-00236551,Adekunle.NIN00236551@gmail.com,NGX
NIN-00595475,Ademola.NIN00595475@gmail.com,NGX
NIN-00127636,Adenike.NIN00127636@gmail.com,NGX
NIN-00916636,Adeniyi.NIN00916636@gmail.com,NGX
NIN-00363647,Adeola.NIN00363647@gmail.com,NGX
NIN-00404481,Aderonke.NIN00404481@gmail.com,NGX
NIN-00308164,Adesola.NIN00308164@gmail.com,NGX
NIN-00953652,Adewale.NIN00953652@gmail.com,NGX
NIN-00970804,Adeyemi.NIN00970804@gmail.com,NGX
NIN-00588808,Adeyinka.NIN00588808@gmail.com,NGX
NIN-00912711,Adijat.NIN00912711@gmail.com,NGX
NIN-00055711,Ado.NIN00055711@gmail.com,NGX
NIN-00831711,Afeez.NIN00831711@gmail.com,NGX
NIN-00486711,Affiong.NIN00486711@gmail.com,NGX
NIN-00814711,Afolabi.NIN00814711@gmail.com,NGX,FMDQ
NIN-00698711,Afusat.NIN00698711@gmail.com,NGX
NIN-00183711,Agatha.NIN00183711@gmail.com,NGX
NIN-00033711,Agnes.NIN00033711@gmail.com,NGX
NIN-00777711,Ahamed.NIN00777711@gmail.com,NGX
NIN-00044711,Ahmad.NIN00044711@gmail.com,NGX
NIN-00641503,Ahmadu.NIN00641503@gmail.com,NGX
NIN-00984711,Ahmed.NIN00984711@gmail.com,NGX,LCFE,NCX,AFEX
NIN-00028711,Ai.NIN00028711@gmail.com,NGX
